serie,tipo,2019,2020,2021,2022,2023,2024,2025,2026,nota_2026
TOTAL NACIONAL,nacional,106584633,56809908,89677405,114638035,128462535,124927287,129339354,52099592,parcial ene-may
TOTAL NACIONAL,internacional,50879466,20925687,37781297,52575047,58140879,61533388,61906842,26807544,parcial ene-may
TOTAL NACIONAL,total,157464099,77735595,127458702,167213082,186603414,186460675,191246196,78907136,parcial ene-may
Los Cabos,nacional,1903120,1204946,2005232,2562747,2949837,2850923,2864721,1126275,parcial ene-may
Los Cabos,internacional,3436196,1723041,3460392,4280347,4510004,4658059,4688307,2107825,parcial ene-may
Los Cabos,total,5339316,2927987,5465624,6843094,7459841,7508982,7553028,3234100,parcial ene-may
Puerto Vallarta,nacional,1803156,917118,1809303,2615340,2823373,2848695,3132904,1169826,parcial ene-may
Puerto Vallarta,internacional,3127870,1572707,2244590,3507564,3902963,3962318,3824488,1752410,parcial ene-may
Puerto Vallarta,total,4931026,2489825,4053893,6122904,6726336,6811013,6957392,2922236,parcial ene-may
Mazatlán,nacional,847269,565842,934309,1152660,1289545,1506014,1402954,530614,parcial ene-may
Mazatlán,internacional,313886,174464,171762,298284,332195,371539,346149,184657,parcial ene-may
Mazatlán,total,1161155,740306,1106071,1450944,1621740,1877553,1749103,715271,parcial ene-may
