serie,tipo,anio_pico,valor_pico,valor_2025,var_2025_vs_pico_pct,valor_2019,var_2025_vs_2019_pct
TOTAL NACIONAL,nacional,2025,129339354,129339354,+0.0,106584633,+21.3
TOTAL NACIONAL,internacional,2025,61906842,61906842,+0.0,50879466,+21.7
TOTAL NACIONAL,total,2025,191246196,191246196,+0.0,157464099,+21.5
Los Cabos,nacional,2023,2949837,2864721,-2.9,1903120,+50.5
Los Cabos,internacional,2025,4688307,4688307,+0.0,3436196,+36.4
Los Cabos,total,2025,7553028,7553028,+0.0,5339316,+41.5
Puerto Vallarta,nacional,2025,3132904,3132904,+0.0,1803156,+73.7
Puerto Vallarta,internacional,2024,3962318,3824488,-3.5,3127870,+22.3
Puerto Vallarta,total,2025,6957392,6957392,+0.0,4931026,+41.1
Mazatlán,nacional,2024,1506014,1402954,-6.8,847269,+65.6
Mazatlán,internacional,2024,371539,346149,-6.8,313886,+10.3
Mazatlán,total,2024,1877553,1749103,-6.8,1161155,+50.6
