grupo,tipo,ytd_2025,ytd_2026,dif_abs,var_pct
PLAYA,nac,9039745,8754568,-285177,-3.1547
PLAYA,intl,14600873,13833573,-767300,-5.2552
PLAYA,total,23640618,22588141,-1052477,-4.4520
NO PLAYA,nac,43003239,43345024,341785,+0.7948
NO PLAYA,intl,12536767,12973971,437204,+3.4874
NO PLAYA,total,55540006,56318995,778989,+1.4026

aeropuerto,grupo,nac_2025,nac_2026,intl_2025,intl_2026
ACAPULCO,PLAYA,271128,294302,23969,27458
AGUASCALIENTES,NO PLAYA,266285,248036,129860,135742
BAJIO,NO PLAYA,907263,874703,427674,402139
CAMPECHE,NO PLAYA,49775,49173,1000,951
CANCUN,PLAYA,4006866,3763732,9144019,8937353
CD. DEL CARMEN,NO PLAYA,118828,120744,1512,1503
CD. JUAREZ,NO PLAYA,833885,813014,3692,5508
CD. OBREGÓN,NO PLAYA,229619,197955,3737,3777
CD. VICTORIA,NO PLAYA,4496,9200,278,337
CHETUMAL,NO PLAYA,178976,168373,825,690
CHICHEN ITZA,NO PLAYA,0,0,0,0
CHICHÉN ITZÁ,NO PLAYA,518,277,28,152
CHIHUAHUA,NO PLAYA,677626,724918,65852,66339
CIUDAD DE MÉXICO/MEXICO CITY,NO PLAYA,11150421,11226082,6886002,7197157
COLIMA,NO PLAYA,102047,98578,0,0
COZUMEL,PLAYA,102745,106390,211711,205836
CREEL,NO PLAYA,722,879,0,0
CUERNAVACA,NO PLAYA,1207,1149,96,45
CULIACAN,NO PLAYA,915675,860355,15782,21937
DEL NORTE,NO PLAYA,9176,9852,8547,10818
DURANGO,NO PLAYA,169297,207375,46628,49355
GUADALAJARA,NO PLAYA,5129585,5212513,2417607,2459496
GUAYMAS,NO PLAYA,2998,2524,750,657
HERMOSILLO,NO PLAYA,887426,829231,33982,36939
HUATULCO,PLAYA,273945,262561,95188,106199
IXTEPEC,NO PLAYA,4796,10805,0,0
LA PAZ,PLAYA,500738,566734,14802,22006
LORETO,PLAYA,33127,31243,57438,59826
LOS MOCHIS,NO PLAYA,290057,288629,3245,3327
MANZANILLO,PLAYA,54907,51752,58750,49297
MATAMOROS,NO PLAYA,42942,50910,131,177
MAZATLAN,PLAYA,574820,530614,205860,184657
MERIDA,NO PLAYA,1381426,1524250,173972,184755
MEXICALI,NO PLAYA,503743,438972,3078,3150
MINATITLAN,NO PLAYA,62549,56978,2932,3608
MONTERREY,NO PLAYA,4962776,5225452,1053841,997274
MORELIA,NO PLAYA,310192,309366,279897,343545
NOGALES,NO PLAYA,532,597,69,74
NUEVO LAREDO,NO PLAYA,70813,63134,434,91
OAXACA,NO PLAYA,653565,637763,113613,102124
PALENQUE,NO PLAYA,4330,8351,12,5
POZA RICA,NO PLAYA,620,629,0,0
PUEBLA,NO PLAYA,492678,544844,10990,12501
PUERTO ESCONDIDO,PLAYA,378570,411260,7740,29911
PUERTO PEÑASCO,PLAYA,1307,1476,428,545
PUERTO VALLARTA,PLAYA,1212185,1169826,2084241,1752410
QUERÉTARO,NO PLAYA,669384,691333,267831,301055
REYNOSA,NO PLAYA,171954,159573,1141,657
SAN CRISTOBAL DE LAS CASAS,NO PLAYA,0,0,0,0
SAN JOSE DEL CABO,PLAYA,1176562,1126275,2193156,2107825
SAN LUIS POTOSI,NO PLAYA,201800,213135,99386,138666
SANTA LUCÍA,NO PLAYA,2677414,2882786,162940,145522
TAMPICO,NO PLAYA,202650,228599,34194,38238
TAMUÍN,NO PLAYA,629,464,0,0
TAPACHULA,NO PLAYA,214245,210722,11859,21176
TEHUACÁN,NO PLAYA,846,632,0,0
TEPIC,NO PLAYA,79633,95735,33,19281
TERAN,NO PLAYA,0,0,0,0
TIJUANA,NO PLAYA,5226581,4798769,55426,25308
TOLUCA,NO PLAYA,753017,795042,11305,13711
TORREON,NO PLAYA,295264,306320,38115,35222
TULÚM,PLAYA,243651,192244,375596,231593
TUXTLA GUTIERREZ (ANGEL ALBINO CORZO),NO PLAYA,687077,662378,9826,11324
URUAPAN,NO PLAYA,70217,51919,8609,11030
VERACRUZ,NO PLAYA,678491,727128,58588,62708
VILLAHERMOSA,NO PLAYA,573442,608994,19279,23884
ZACATECAS,NO PLAYA,83751,95884,72169,82016
ZIHUATANEJO,PLAYA,209194,246159,127975,118657
