aeropuerto,anio,mes,nacional,internacional,total
TQO,2023,12,39768,0,39768
TQO,2024,1,49463,0,49463
TQO,2024,2,41566,40,41606
TQO,2024,3,49210,5706,54916
TQO,2024,4,43208,53609,96817
TQO,2024,5,47717,64039,111756
TQO,2024,6,46494,88848,135342
TQO,2024,7,52778,88511,141289
TQO,2024,8,56368,81924,138292
TQO,2024,9,48029,41598,89627
TQO,2024,10,48411,51444,99855
TQO,2024,11,53340,63426,116766
TQO,2024,12,69038,92481,161519
TQO,2025,1,56445,93786,150231
TQO,2025,2,38665,79458,118123
TQO,2025,3,48130,95877,144007
TQO,2025,4,53126,67374,120500
TQO,2025,5,47285,39101,86386
TQO,2025,6,44192,42024,86216
TQO,2025,7,50543,43358,93901
TQO,2025,8,51013,32931,83944
TQO,2025,9,42080,22566,64646
TQO,2025,10,46264,28109,74373
TQO,2025,11,53155,51031,104186
TQO,2025,12,57568,64564,122132
TQO,2026,1,44623,63697,108320
TQO,2026,2,29181,57943,87124
TQO,2026,3,35872,56672,92544
TQO,2026,4,41494,37837,79331
TQO,2026,5,41074,15444,56518
