aeropuerto,anio,mes,nacional,internacional,total
CUN,2019,1,674760,1513106,2187866
CUN,2019,2,562037,1463274,2025311
CUN,2019,3,662386,1783841,2446227
CUN,2019,4,745015,1507701,2252716
CUN,2019,5,792854,1327014,2119868
CUN,2019,6,781998,1400407,2182405
CUN,2019,7,914987,1484897,2399884
CUN,2019,8,867640,1301415,2169055
CUN,2019,9,701857,889419,1591276
CUN,2019,10,758707,1011657,1770364
CUN,2019,11,747872,1293394,2041266
CUN,2019,12,770284,1525467,2295751
CUN,2020,1,704340,1572774,2277114
CUN,2020,2,611072,1563194,2174266
CUN,2020,3,487448,1014810,1502258
CUN,2020,4,57968,7349,65317
CUN,2020,5,41255,7355,48610
CUN,2020,6,131001,44418,175419
CUN,2020,7,395958,221074,617032
CUN,2020,8,521976,297389,819365
CUN,2020,9,549834,304003,853837
CUN,2020,10,591005,419731,1010736
CUN,2020,11,663094,583443,1246537
CUN,2020,12,700044,768613,1468657
CUN,2021,1,577813,711729,1289542
CUN,2021,2,475677,549582,1025259
CUN,2021,3,692686,877579,1570265
CUN,2021,4,714687,924952,1639639
CUN,2021,5,797780,1095433,1893213
CUN,2021,6,799084,1291026,2090110
CUN,2021,7,931989,1441679,2373668
CUN,2021,8,824710,1237207,2061917
CUN,2021,9,727985,933081,1661066
CUN,2021,10,839056,1141366,1980422
CUN,2021,11,829239,1399489,2228728
CUN,2021,12,870648,1633990,2504638
CUN,2022,1,691864,1500061,2191925
CUN,2022,2,604798,1508779,2113577
CUN,2022,3,784985,1951459,2736444
CUN,2022,4,853177,1764137,2617314
CUN,2022,5,876242,1589007,2465249
CUN,2022,6,829781,1660698,2490479
CUN,2022,7,1036208,1840238,2876446
CUN,2022,8,1072363,1653404,2725767
CUN,2022,9,927307,1254056,2181363
CUN,2022,10,1010502,1404465,2414967
CUN,2022,11,968149,1626692,2594841
CUN,2022,12,1050521,1884068,2934589
CUN,2023,1,914893,1982951,2897844
CUN,2023,2,763729,1846489,2610218
CUN,2023,3,917858,2058778,2976636
CUN,2023,4,992922,1832472,2825394
CUN,2023,5,1029493,1597328,2626821
CUN,2023,6,984167,1717484,2701651
CUN,2023,7,1118655,1898642,3017297
CUN,2023,8,1153621,1636287,2789908
CUN,2023,9,978454,1192419,2170873
CUN,2023,10,1070713,1387565,2458278
CUN,2023,11,956130,1698148,2654278
CUN,2023,12,961582,2059633,3021215
CUN,2024,1,824158,2096243,2920401
CUN,2024,2,705560,2032642,2738202
CUN,2024,3,789963,2281525,3071488
CUN,2024,4,796486,1796360,2592846
CUN,2024,5,878015,1560736,2438751
CUN,2024,6,870730,1606132,2476862
CUN,2024,7,940874,1637174,2578048
CUN,2024,8,983288,1414445,2397733
CUN,2024,9,864863,1034391,1899254
CUN,2024,10,874782,1218036,2092818
CUN,2024,11,834117,1567723,2401840
CUN,2024,12,873409,1929868,2803277
CUN,2025,1,813464,1945595,2759059
CUN,2025,2,680189,1809498,2489687
CUN,2025,3,794115,2142355,2936470
CUN,2025,4,835045,1739253,2574298
CUN,2025,5,867155,1468569,2335724
CUN,2025,6,828705,1558510,2387215
CUN,2025,7,921781,1709759,2631540
CUN,2025,8,921363,1402782,2324145
CUN,2025,9,796173,962546,1758719
CUN,2025,10,835494,1215159,2050653
CUN,2025,11,787059,1594485,2381544
CUN,2025,12,800441,1916043,2716484
CUN,2026,1,743606,1988889,2732495
CUN,2026,2,630468,1868343,2498811
CUN,2026,3,747556,2054234,2801790
CUN,2026,4,789691,1674788,2464479
CUN,2026,5,841058,1305796,2146854
CUN,2026,6,759398,1353772,2113170
CZM,2019,1,13540,41636,55176
CZM,2019,2,11310,44936,56246
CZM,2019,3,15138,62087,77225
CZM,2019,4,18619,34133,52752
CZM,2019,5,20852,19919,40771
CZM,2019,6,18770,26475,45245
CZM,2019,7,20523,27621,48144
CZM,2019,8,17655,20700,38355
CZM,2019,9,11395,9085,20480
CZM,2019,10,11085,14750,25835
CZM,2019,11,13014,22817,35831
CZM,2019,12,17739,32624,50363
CZM,2020,1,15143,43294,58437
CZM,2020,2,12838,47786,60624
CZM,2020,3,9480,37348,46828
CZM,2020,4,288,194,482
CZM,2020,5,151,167,318
CZM,2020,6,387,1812,2199
CZM,2020,7,2114,8675,10789
CZM,2020,8,4191,8181,12372
CZM,2020,9,1779,6746,8525
CZM,2020,10,4967,10857,15824
CZM,2020,11,9532,14637,24169
CZM,2020,12,8857,18866,27723
CZM,2021,1,8172,16471,24643
CZM,2021,2,5333,14903,20236
CZM,2021,3,10243,32280,42523
CZM,2021,4,11906,28137,40043
CZM,2021,5,10667,35147,45814
CZM,2021,6,10204,43133,53337
CZM,2021,7,22064,45062,67126
CZM,2021,8,23963,28766,52729
CZM,2021,9,18832,15259,34091
CZM,2021,10,17478,22174,39652
CZM,2021,11,16888,33960,50848
CZM,2021,12,18598,42035,60633
CZM,2022,1,14397,36719,51116
CZM,2022,2,13381,38833,52214
CZM,2022,3,16368,56730,73098
CZM,2022,4,10246,39156,49402
CZM,2022,5,10786,39031,49817
CZM,2022,6,9573,45823,55396
CZM,2022,7,17193,53467,70660
CZM,2022,8,23284,39035,62319
CZM,2022,9,16210,21773,37983
CZM,2022,10,17222,30082,47304
CZM,2022,11,14289,39473,53762
CZM,2022,12,10557,49642,60199
CZM,2023,1,10916,49978,60894
CZM,2023,2,9512,46596,56108
CZM,2023,3,11613,61629,73242
CZM,2023,4,14194,39478,53672
CZM,2023,5,14706,31061,45767
CZM,2023,6,16986,38859,55845
CZM,2023,7,24040,42172,66212
CZM,2023,8,24686,28344,53030
CZM,2023,9,15939,18797,34736
CZM,2023,10,17663,24712,42375
CZM,2023,11,20149,38718,59867
CZM,2023,12,23595,52160,75755
CZM,2024,1,21480,56198,77678
CZM,2024,2,17380,60593,77973
CZM,2024,3,19643,73439,93082
CZM,2024,4,18631,46575,65206
CZM,2024,5,21448,35188,56636
CZM,2024,6,20142,37157,57299
CZM,2024,7,19972,32836,52808
CZM,2024,8,23574,22184,45758
CZM,2024,9,20588,12112,32700
CZM,2024,10,20136,20313,40449
CZM,2024,11,22659,27019,49678
CZM,2024,12,24940,38751,63691
CZM,2025,1,20079,46539,66618
CZM,2025,2,16059,47145,63204
CZM,2025,3,16421,56983,73404
CZM,2025,4,22995,33368,56363
CZM,2025,5,24465,26617,51082
CZM,2025,6,23850,27451,51301
CZM,2025,7,25030,27524,52554
CZM,2025,8,25805,18346,44151
CZM,2025,9,22447,11394,33841
CZM,2025,10,22169,19205,41374
CZM,2025,11,22821,29747,52568
CZM,2025,12,21077,39069,60146
CZM,2026,1,21411,46550,67961
CZM,2026,2,16151,46668,62819
CZM,2026,3,19199,53059,72258
CZM,2026,4,23333,33777,57110
CZM,2026,5,24445,24988,49433
CZM,2026,6,21817,25858,47675
