aeropuerto,anio,mes,nacional,internacional,total
CUN,2000,1,119120,478444,597564
CUN,2000,2,108238,539700,647938
CUN,2000,3,132757,690947,823704
CUN,2000,4,146063,557692,703755
CUN,2000,5,146052,485872,631924
CUN,2000,6,149641,561271,710912
CUN,2000,7,213818,561185,775003
CUN,2000,8,191662,499084,690746
CUN,2000,9,123499,370862,494361
CUN,2000,10,119510,386198,505708
CUN,2000,11,136171,433518,569689
CUN,2000,12,152491,442077,594568
CUN,2001,1,121548,554692,676240
CUN,2001,2,104596,571900,676496
CUN,2001,3,121521,729284,850805
CUN,2001,4,148354,578335,726689
CUN,2001,5,138794,505683,644477
CUN,2001,6,143735,571055,714790
CUN,2001,7,218118,562996,781114
CUN,2001,8,199333,504825,704158
CUN,2001,9,118524,296119,414643
CUN,2001,10,123561,300957,424518
CUN,2001,11,138181,343704,481885
CUN,2001,12,157922,386233,544155
CUN,2002,1,125085,467766,592851
CUN,2002,2,103042,519904,622946
CUN,2002,3,158678,706691,865369
CUN,2002,4,141237,530472,671709
CUN,2002,5,149359,451569,600928
CUN,2002,6,159872,545780,705652
CUN,2002,7,248572,537119,785691
CUN,2002,8,230001,511233,741234
CUN,2002,9,137118,318933,456051
CUN,2002,10,114799,343296,458095
CUN,2002,11,138138,431212,569350
CUN,2002,12,174300,473793,648093
CUN,2003,1,136539,561668,698207
CUN,2003,2,117110,590376,707486
CUN,2003,3,154644,717270,871914
CUN,2003,4,184171,569641,753812
CUN,2003,5,194470,497224,691694
CUN,2003,6,197223,567962,765185
CUN,2003,7,272916,606076,878992
CUN,2003,8,246981,592682,839663
CUN,2003,9,155218,355381,510599
CUN,2003,10,139160,401699,540859
CUN,2003,11,171876,511572,683448
CUN,2003,12,189006,553330,742336
CUN,2004,1,152130,673531,825661
CUN,2004,2,137713,731500,869213
CUN,2004,3,154078,789885,943963
CUN,2004,4,194060,713980,908040
CUN,2004,5,198237,624241,822478
CUN,2004,6,202315,680302,882617
CUN,2004,7,286973,731727,1018700
CUN,2004,8,243163,674227,917390
CUN,2004,9,159291,431598,590889
CUN,2004,10,158473,515782,674255
CUN,2004,11,172636,572276,744912
CUN,2004,12,186944,625645,812589
CUN,2005,1,154427,788295,942722
CUN,2005,2,131038,785373,916411
CUN,2005,3,176779,920735,1097514
CUN,2005,4,161095,796945,958040
CUN,2005,5,188505,694327,882832
CUN,2005,6,192907,761614,954521
CUN,2005,7,245408,713597,959005
CUN,2005,8,218033,636223,854256
CUN,2005,9,166850,416894,583744
CUN,2005,10,118615,332594,451209
CUN,2005,11,92873,114447,207320
CUN,2005,12,157437,336433,493870
CUN,2009,1,237047,952314,1189361
CUN,2009,2,195552,961078,1156630
CUN,2009,3,223396,1080176,1303572
CUN,2009,4,266201,894104,1160305
CUN,2009,5,202719,279073,481792
CUN,2009,6,266709,494263,760972
CUN,2009,7,402458,609633,1012091
CUN,2009,8,341873,600859,942732
CUN,2009,9,211420,378004,589424
CUN,2009,10,219629,446135,665764
CUN,2009,11,249790,608876,858666
CUN,2009,12,285746,767853,1053599
CUN,2010,1,245306,908644,1153950
CUN,2010,2,183850,908637,1092487
CUN,2010,3,262278,1055812,1318090
CUN,2010,4,273530,881612,1155142
CUN,2010,5,291632,713950,1005582
CUN,2010,6,289149,735308,1024457
CUN,2010,7,420157,808312,1228469
CUN,2010,8,362780,706869,1069649
CUN,2010,9,230633,443485,674118
CUN,2010,10,244019,499588,743607
CUN,2010,11,272203,629319,901522
CUN,2010,12,296720,775473,1072193
CUN,2011,1,248098,917096,1165194
CUN,2011,2,205555,890722,1096277
CUN,2011,3,244211,1054127,1298338
CUN,2011,4,302046,911134,1213180
CUN,2011,5,315227,722754,1037981
CUN,2011,6,309173,724363,1033536
CUN,2011,7,462579,846753,1309332
CUN,2011,8,382429,725842,1108271
CUN,2011,9,269510,495593,765103
CUN,2011,10,272017,535286,807303
CUN,2011,11,304341,655049,959390
CUN,2011,12,368910,859666,1228576
CUN,2012,1,297249,976746,1273995
CUN,2012,2,256810,967002,1223812
